Rank,Title,Rating,Year
1,Vykoupení z věznice Shawshank,95.4,94
2,Forrest Gump,94.4,94
3,Zelená míle,92.9,0
4,Sedm,92.5,0
5,Přelet nad kukaččím hnízdem,92.4,0
6,Schindlerův seznam,92.4,0
7,Kmotr,91.8,0
8,Dvanáct rozhněvaných mužů,91.5,0
9,Nedotknutelní,91.3,0
10,Pelíšky,91.2,0
11,Terminátor 2: Den zúčtování,91.0,0
12,Pán prstenů: Společenstvo Prstenu,90.7,0
13,Pulp Fiction: Historky z podsvětí,90.8,94
14,Pán prstenů: Návrat krále,90.7,0
15,Kmotr II,90.7,74
16,Temný rytíř,90.5,0
17,Mlčení jehňátek,90.6,0
18,Tenkrát na Západě,90.5,0
19,Matrix,90.3,0
20,Gran Torino,90.3,0
21,"Hodný, zlý a ošklivý",90.0,0
22,Dobyvatelé ztracené archy,89.9,0
23,Rain Man,89.8,0
24,Sedm statečných,89.9,0
25,Vyšší princip,89.8,0
26,Indiana Jones a Poslední křížová výprava,89.7,0
27,Le Mans '66,89.7,0
28,Vetřelec,89.7,0
29,Vetřelci,89.6,0
30,Rivalové,89.6,0
31,Smrtonosná past,89.5,0
32,Podraz,89.5,0
33,Zachraňte vojína Ryana,89.3,0
34,S čerty nejsou žerty,89.3,84
35,Leon,89.2,94
36,"„Marečku, podejte mi pero!“",89.1,0
37,Amadeus,89.1,84
38,Obecná škola,89.0,0
39,Star Wars: Epizoda V - Impérium vrací úder,89.0,0
40,Pán prstenů: Dvě věže,88.9,0
41,L. A. - Přísně tajné,88.9,0
42,Cesta do hlubin študákovy duše,88.9,0
43,Butch Cassidy a Sundance Kid,88.9,0
44,Návrat do budoucnosti,88.8,0
45,Gladiátor,88.7,0
46,Počátek,88.7,0
47,Čistá duše,88.6,0
48,Město bohů,88.7,0
49,Pianista,88.5,0
50,Spalovač mrtvol,88.5,0
51,Tanec s vlky,88.5,0
52,Vesničko má středisková,88.4,0
53,Nespoutaný Django,88.2,0
54,Šestý smysl,88.2,0
55,Casino,88.2,0
56,Prokletý ostrov,88.1,0
57,Klub rváčů,88.1,0
58,Kult hákového kříže,88.2,0
59,Statečné srdce,88.0,0
60,Million Dollar Baby,88.0,4
61,Dobrý Will Hunting,88.0,0
62,Nelítostný souboj,88.1,0
63,Život je krásný,87.9,0
64,Psycho,87.9,0
65,Klaus,88.0,0
66,Dokonalý trik,87.9,0
67,12 úkolů pro Asterixe,87.8,0
68,Osvícení,87.7,0
69,Smrtonosná zbraň,87.8,0
70,Četa,87.8,0
71,Hon,87.8,0
72,Prázdniny v Římě,87.7,0
73,Shrek,87.6,0
74,Star Wars: Epizoda IV - Nová naděje,87.7,0
75,Na samotě u lesa,87.6,0
76,Někdo to rád horké,87.6,0
77,Kladivo na čarodějnice,87.7,0
78,Motýlek,87.6,0
79,Star Wars: Epizoda III - Pomsta Sithů,87.5,0
80,Requiem za sen,87.5,0
81,Mafiáni,87.5,0
82,Coco,87.6,0
83,U pokladny stál...,87.5,0
84,Tenkrát v Americe,87.5,84
85,Cesta do pravěku,87.4,0
86,Warrior,87.4,0
87,Obvyklí podezřelí,87.4,0
88,Americká krása,87.3,0
89,Podfu(c)k,87.4,0
90,Bohemian Rhapsody,87.3,0
91,Star Wars: Epizoda VI - Návrat Jediů,87.2,0
92,Byl jednou jeden král...,87.2,54
93,Bourneovo ultimátum,87.3,0
94,Terminátor,87.1,84
95,Uprchlík,87.2,0
96,Čas probuzení,87.2,0
97,25 let neviny,87.5,0
98,"Chyť mě, když to dokážeš",87.1,0
99,Poslední skaut,87.0,0
